HOLDER,USER,NAME,TITLE,EXPNO,SOLVENT,EXPERIMENT,DISK
101,nmrsu,NMR_short_course_Paracetamol,Subject_1_baseline_R1C1\n,10,Urine,PROF_URINE_NOESY,D:\IVDrData\data
101,nmrsu,NMR_short_course_Paracetamol,Subject_1_baseline_R1C1\n,11,Urine,PROF_URINE_JRES,D:\IVDrData\data
102,nmrsu,NMR_short_course_Paracetamol,Subject_1_2hours_R1C2\n,20,Urine,PROF_URINE_NOESY,D:\IVDrData\data
102,nmrsu,NMR_short_course_Paracetamol,Subject_1_2hours_R1C2\n,21,Urine,PROF_URINE_JRES,D:\IVDrData\data
103,nmrsu,NMR_short_course_Paracetamol,Subject_1_4hours_R1C3\n,30,Urine,PROF_URINE_NOESY,D:\IVDrData\data
103,nmrsu,NMR_short_course_Paracetamol,Subject_1_4hours_R1C3\n,31,Urine,PROF_URINE_JRES,D:\IVDrData\data
104,nmrsu,NMR_short_course_Paracetamol,Subject_1_6hours_R1C4\n,40,Urine,PROF_URINE_NOESY,D:\IVDrData\data
104,nmrsu,NMR_short_course_Paracetamol,Subject_1_6hours_R1C4\n,41,Urine,PROF_URINE_JRES,D:\IVDrData\data
105,nmrsu,NMR_short_course_Paracetamol,Subject_2_baseline_R1C5\n,50,Urine,PROF_URINE_NOESY,D:\IVDrData\data
105,nmrsu,NMR_short_course_Paracetamol,Subject_2_baseline_R1C5\n,51,Urine,PROF_URINE_JRES,D:\IVDrData\data
106,nmrsu,NMR_short_course_Paracetamol,Subject_2_2hours_R1C6\n,60,Urine,PROF_URINE_NOESY,D:\IVDrData\data
106,nmrsu,NMR_short_course_Paracetamol,Subject_2_2hours_R1C6\n,61,Urine,PROF_URINE_JRES,D:\IVDrData\data
107,nmrsu,NMR_short_course_Paracetamol,Subject_2_4hours_R1C7\n,70,Urine,PROF_URINE_NOESY,D:\IVDrData\data
107,nmrsu,NMR_short_course_Paracetamol,Subject_2_4hours_R1C7\n,71,Urine,PROF_URINE_JRES,D:\IVDrData\data
108,nmrsu,NMR_short_course_Paracetamol,Subject_2_6hours_R1C8\n,80,Urine,PROF_URINE_NOESY,D:\IVDrData\data
108,nmrsu,NMR_short_course_Paracetamol,Subject_2_6hours_R1C8\n,81,Urine,PROF_URINE_JRES,D:\IVDrData\data
109,nmrsu,NMR_short_course_Paracetamol,Subject_3_baseline_R1C9\n,90,Urine,PROF_URINE_NOESY,D:\IVDrData\data
109,nmrsu,NMR_short_course_Paracetamol,Subject_3_baseline_R1C9\n,91,Urine,PROF_URINE_JRES,D:\IVDrData\data
110,nmrsu,NMR_short_course_Paracetamol,Subject_3_2hours_R1C10\n,100,Urine,PROF_URINE_NOESY,D:\IVDrData\data
110,nmrsu,NMR_short_course_Paracetamol,Subject_3_2hours_R1C10\n,101,Urine,PROF_URINE_JRES,D:\IVDrData\data
111,nmrsu,NMR_short_course_Paracetamol,Subject_3_4hours_R1C11\n,110,Urine,PROF_URINE_NOESY,D:\IVDrData\data
111,nmrsu,NMR_short_course_Paracetamol,Subject_3_4hours_R1C11\n,111,Urine,PROF_URINE_JRES,D:\IVDrData\data
112,nmrsu,NMR_short_course_Paracetamol,Subject_3_6hours_R1C12\n,120,Urine,PROF_URINE_NOESY,D:\IVDrData\data
112,nmrsu,NMR_short_course_Paracetamol,Subject_3_6hours_R1C12\n,121,Urine,PROF_URINE_JRES,D:\IVDrData\data
113,nmrsu,NMR_short_course_Paracetamol,Subject_4_baseline_R2C1\n,130,Urine,PROF_URINE_NOESY,D:\IVDrData\data
113,nmrsu,NMR_short_course_Paracetamol,Subject_4_baseline_R2C1\n,131,Urine,PROF_URINE_JRES,D:\IVDrData\data
114,nmrsu,NMR_short_course_Paracetamol,Subject_4_2hours_R2C2\n,140,Urine,PROF_URINE_NOESY,D:\IVDrData\data
114,nmrsu,NMR_short_course_Paracetamol,Subject_4_2hours_R2C2\n,141,Urine,PROF_URINE_JRES,D:\IVDrData\data
115,nmrsu,NMR_short_course_Paracetamol,Subject_4_4hours_R2C3\n,150,Urine,PROF_URINE_NOESY,D:\IVDrData\data
115,nmrsu,NMR_short_course_Paracetamol,Subject_4_4hours_R2C3\n,151,Urine,PROF_URINE_JRES,D:\IVDrData\data
116,nmrsu,NMR_short_course_Paracetamol,Subject_4_6hours_R2C4\n,160,Urine,PROF_URINE_NOESY,D:\IVDrData\data
116,nmrsu,NMR_short_course_Paracetamol,Subject_4_6hours_R2C4\n,161,Urine,PROF_URINE_JRES,D:\IVDrData\data
117,nmrsu,NMR_short_course_Paracetamol,Subject_5_baseline_R2C5\n,170,Urine,PROF_URINE_NOESY,D:\IVDrData\data
117,nmrsu,NMR_short_course_Paracetamol,Subject_5_baseline_R2C5\n,171,Urine,PROF_URINE_JRES,D:\IVDrData\data
118,nmrsu,NMR_short_course_Paracetamol,Subject_5_2hours_R2C6\n,180,Urine,PROF_URINE_NOESY,D:\IVDrData\data
118,nmrsu,NMR_short_course_Paracetamol,Subject_5_2hours_R2C6\n,181,Urine,PROF_URINE_JRES,D:\IVDrData\data
119,nmrsu,NMR_short_course_Paracetamol,Subject_5_4hours_R2C7\n,190,Urine,PROF_URINE_NOESY,D:\IVDrData\data
119,nmrsu,NMR_short_course_Paracetamol,Subject_5_4hours_R2C7\n,191,Urine,PROF_URINE_JRES,D:\IVDrData\data
120,nmrsu,NMR_short_course_Paracetamol,Subject_5_6hours_R2C8\n,200,Urine,PROF_URINE_NOESY,D:\IVDrData\data
120,nmrsu,NMR_short_course_Paracetamol,Subject_5_6hours_R2C8\n,201,Urine,PROF_URINE_JRES,D:\IVDrData\data
